date,pm25,latitude,longitude
2023-01-01,17.483570765056164,50.0,10.0
2023-01-02,14.308678494144077,50.0,10.0
2023-01-03,18.23844269050346,50.0,10.0
2023-01-04,22.61514928204013,50.0,10.0
2023-01-05,13.82923312638332,50.0,10.0
2023-01-06,13.829315215254097,50.0,10.0
2023-01-07,22.896064077536955,50.0,10.0
2023-01-08,18.837173645764544,50.0,10.0
2023-01-09,12.652628070325239,50.0,10.0
2023-01-10,17.712800217929825,50.0,10.0
2023-01-11,12.682911535937688,50.0,10.0
2023-01-12,12.671351232148716,50.0,10.0
2023-01-13,16.20981135783017,50.0,10.0
2023-01-14,5.43359877671101,50.0,10.0
2023-01-15,6.375410837434837,50.0,10.0
2023-01-16,12.188562353795136,50.0,10.0
2023-01-17,9.93584439832788,50.0,10.0
2023-01-18,16.571236662976368,50.0,10.0
2023-01-19,10.459879622393945,50.0,10.0
2023-01-20,7.938481493323542,50.0,10.0
2023-01-21,22.32824384460777,50.0,10.0
2023-01-22,13.871118497567322,50.0,10.0
2023-01-23,15.33764102343962,50.0,10.0
2023-01-24,7.8762590689327165,50.0,10.0
2023-01-25,12.278086377374088,50.0,10.0
2023-01-26,15.55461294854933,50.0,10.0
2023-01-27,9.245032112888486,50.0,10.0
2023-01-28,16.87849009172836,50.0,10.0
2023-01-29,11.996806550405974,50.0,10.0
2023-01-30,13.541531251033616,50.0,10.0
2023-01-31,11.991466938853016,50.0,10.0
